"","ITAG","cluster"
"677","Solyc02g077620.1.1",1
"678","Solyc02g077720.2.1",3
"679","Solyc02g077880.2.1",2
"680","Solyc02g077930.1.1",3
"681","Solyc02g077940.1.1",1
"682","Solyc02g078130.2.1",5
"683","Solyc02g078150.2.1",2
"684","Solyc02g078240.2.1",2
"685","Solyc02g078360.2.1",4
"686","Solyc02g078400.2.1",4
"687","Solyc02g078490.2.1",6
"688","Solyc02g078500.2.1",4
"689","Solyc02g078600.2.1",6
"690","Solyc02g078750.2.1",2
"691","Solyc02g078760.1.1",1
"692","Solyc02g078780.2.1",4
"693","Solyc02g078890.1.1",6
"694","Solyc02g078940.2.1",5
"695","Solyc02g078960.2.1",6
"696","Solyc02g079030.2.1",4
"697","Solyc02g079050.2.1",6
"698","Solyc02g079140.1.1",6
"699","Solyc02g079160.2.1",1
"700","Solyc02g079180.1.1",1
"701","Solyc02g079190.2.1",4
"702","Solyc02g079200.1.1",4
"703","Solyc02g079230.2.1",4
"704","Solyc02g079260.1.1",1
"705","Solyc02g079350.2.1",1
"706","Solyc02g079360.1.1",1
"707","Solyc02g079390.2.1",3
"708","Solyc02g079790.2.1",3
"709","Solyc02g079820.2.1",5
"710","Solyc02g079830.1.1",4
"711","Solyc02g079940.2.1",1
"712","Solyc02g080170.1.1",6
"713","Solyc02g080200.2.1",1
"714","Solyc02g080210.2.1",1
"715","Solyc02g080350.1.1",1
"716","Solyc02g080480.2.1",1
"717","Solyc02g080510.1.1",3
"718","Solyc02g080530.2.1",2
"719","Solyc02g080550.1.1",4
"720","Solyc02g080580.1.1",4
"721","Solyc02g080640.2.1",3
"722","Solyc02g080650.2.1",5
"723","Solyc02g080990.1.1",4
"724","Solyc02g081080.2.1",1
"725","Solyc02g081130.1.1",5
"726","Solyc02g081170.2.1",3
"727","Solyc02g081190.2.1",2
"728","Solyc02g081200.1.1",4
"729","Solyc02g081220.1.1",2
"730","Solyc02g081230.2.1",4
"731","Solyc02g081260.1.1",4
"732","Solyc02g081270.2.1",1
"733","Solyc02g081340.2.1",4
"734","Solyc02g081570.2.1",5
"735","Solyc02g081770.1.1",3
"736","Solyc02g081910.1.1",4
"737","Solyc02g082210.2.1",1
"738","Solyc02g082270.2.1",2
"739","Solyc02g082300.2.1",5
"740","Solyc02g082360.2.1",5
"741","Solyc02g082400.2.1",1
"742","Solyc02g082510.1.1",3
"743","Solyc02g082540.2.1",1
"744","Solyc02g082600.2.1",6
"745","Solyc02g082650.2.1",6
"746","Solyc02g082730.2.1",3
"747","Solyc02g082850.2.1",2
"748","Solyc02g082940.2.1",1
"749","Solyc02g083170.2.1",6
"750","Solyc02g083200.2.1",4
"751","Solyc02g083210.1.1",1
"752","Solyc02g083230.2.1",5
"753","Solyc02g083280.2.1",3
"754","Solyc02g083410.2.1",2
"755","Solyc02g083430.1.1",4
"756","Solyc02g083520.2.1",2
"757","Solyc02g083660.1.1",2
"758","Solyc02g083680.1.1",6
"759","Solyc02g083720.2.1",3
"760","Solyc02g083740.1.1",1
"761","Solyc02g083860.2.1",4
"762","Solyc02g083940.2.1",5
"763","Solyc02g084090.1.1",1
"764","Solyc02g084100.1.1",1
"765","Solyc02g084130.2.1",3
"766","Solyc02g084210.1.1",4
"767","Solyc02g084390.2.1",3
"768","Solyc02g084430.2.1",3
"769","Solyc02g084500.2.1",4
"770","Solyc02g084540.2.1",3
"771","Solyc02g084640.2.1",5
"772","Solyc02g084650.2.1",3
"773","Solyc02g084680.2.1",1
